"Unnamed..0","EJ.1.A","EJ.1.B","EJ.1.C","Total.E1","EJ.2.A","EJ.2.B","EJ.2.C","EJ.2D","EJ.2E","EJ.2F","Total.E2","Puntaje.total","HW3_grade","answer_1_c","AI","favorable","HW_1","HW_2","HW_3","Midterm_25","Midterm_25.1","Exam_35","Final_grade","Final_grade_excluding_HW_3","average_grade","had_pair","df_fe","numb_tokes","jaccard_similarity"
7,10,5,7,22,4,"4","7",5,10,10,"40","62","5,1","A mi juicio, la política de cuotas en las universidades públicas brasileñas podría
reducir el comportamiento elitista de los empleadores al diversificar la composición
de la gente que egresa de la universidad. Pues, al permitir que estudiantes de diversos
orígenes socioeconómicos accedan a la educación superior, podrían aumentar
enormemente sus posibilidades de entrar al mercado laboral. Además, con graduados
de diferentes orígenes demostrando una alta capacidad para realizar su profesión, los
empleadores podrían verse impulsados a valorar las habilidades y el desempeño por
encima del prestigio institucional o el estatus social, disminuyendo así la preferencia
por candidatos que provengan de ambientes elitistas.

La política de cuotas podría disminuir la discriminación contra negros e indígenas en
el proceso de contratación al aumentar su representación en la educación superior y,
consecuentemente, en el mercado laboral. Al acceder a universidades de calidad, estos
grupos de la sociedad podrían demostrar sus capacidades y competir en igualdad de
condiciones con todos los demás, desafiando así los estereotipos negativos y
prejuicios existentes hacia ellos. Además, podría contribuir a sensibilizar a los
empleadores sobre la importancia de la diversidad, promoviendo así prácticas de
contratación más inclusivas y equitativas, que valoren las competencias de los
individuos y no solamente los antecedentes étnicos o raciales. Ser negro o provenir
de un pueblo indígena, no significa que estén incapacitados para trabajar o cumplir
bien sus labores.",100,1,6.3,6.7,5.1,3.5,5.9,5.25,5.1,72.7443609,72.7443609,1,"df1",267,5.5
561,10,10,7,27,4,"5","10",10,10,10,"49","76","6,1","Si Brasil implementa la política de cuotas, podría significar un gran cambio en la
contratación, ya que daría prioridad a los candidatos con una sólida formación educativa sobre aquellos con calificaciones avanzadas. Esto ayuda a nivelar el campo de juego para aquellos que tradicionalmente no han tenido acceso a educación de élite, permitiendo que el talento y la capacidad sean los verdaderos criterios de selección.

La inclusión de grupos desfavorecidos en las universidades y el mercado laboral puede desafiar y, en última instancia, reducir los estereotipos raciales y socioeconómicos. La diversidad en el lugar de trabajo muestra que la eficacia profesional no se ve influenciada por la raza o el nivel socioeconómico, por lo que la lucha contra la discriminación depende en gran medida de esto. 

Las cuotas no solo promueven la igualdad de oportunidades en la educación superior, sino que también pueden transformar los principios de equidad en el mercado laboral, dando como resultado prácticas de contratación más justas que prioricen el mérito sobre el lugar del fondo socioeconómico o racial de los candidatos.",37,1,6.4,7,6.1,5.1,5.5,5.1,5.4,76.76691729,76.76691729,1,"df2",193,3.5
81,10,5,10,25,4,"5","10",7,10,10,"46","71","5,7","La política de cuotas en las universidades públicas de Brasil intenta ser justa y dar más oportunidades educativas a grupos que han sido marginados por mucho tiempo. Sin embargo, esta política puede tener efectos mixtos en cómo los empleadores ven a estos estudiantes y en la discriminación contra las personas negras e indígenas durante el proceso de contratación.

Los empleadores podrían pensar que los estudiantes que entraron por cuotas no tuvieron que cumplir con los mismos estándares académicos difíciles que los demás, lo que podría ser visto de manera negativa. Esto puede actuar como una señalización negativa, ya que los empleadores podrían asumir que estos candidatos no atravesaron los mismos estándares académicos que la competencia para poder ser admitidos. Este prejuicio podría llevar a la conclusión de que estos estudiantes son menos calificados, sin importar sus habilidades y desempeño real.

Si los empleadores creen que los estudiantes de cuotas recibieron ventajas en su educación superior, podrían discriminar contra ellos, incluso si son buenos candidatos con muchas calificaciones. El contratante, al presentarse una persona que pertenece a uno de estos grupos, podría generar una discriminación negativa, concluyendo que su educación fue facilitada y no por sus propios méritos. Esto estaría aumentando aún más la discriminación a estos grupos fuera de su origen étnico.

La preferencia por candidatos de escuelas privadas y prestigiosas podría crecer, ya que los empleadores podrían pensar que los estudiantes de cuotas recibieron una educación de menor calidad. Esto podría llevar a una mayor discriminación y actitudes elitistas en la contratación hacia estos grupos, a pesar del objetivo positivo de la política de promover la igualdad. Los empleadores podrían preferir candidatos provenientes de un entorno educativo con mayores oportunidades, personas que no tuvieron la necesidad de acceder a cuotas.",64,0,6.2,6.5,5.7,3.9,5.8,4.9,5.1,71.80451128,71.80451128,1,"df2",320,2
111,10,10,10,30,0,"1","1",6,10,10,"28","58","4,9","Brasil, con el mecanismo de cuotas, puede ser un tipo de señalización para los empleadores. Al ver un alumno con esta condición puede que piense que al entrar a una carrera requiriendo un menor puntaje, este sea menos productivo o menos competitivo, reafirmando un comportamiento elitista y perjudicando a las personas negras y de pueblos indígenas al ser discriminados por cumplir esta condición de cuotas y ser vistos como menos capaces.",NA,0,5.6,6.8,4.9,3.8,4.9,5.7,5,72.03007519,72.03007519,1,"df2",77,0
271,10,10,7,27,4,"7","9",5,10,9,"44","71","5,7","La política de cuotas se implementa para facilitar el acceso a la educación superior a estudiantes de grupos que han sido históricamente subrepresentados, como aquellos provenientes de escuelas públicas y comunidades afrodescendientes e indígenas. Esta medida busca nivelar las oportunidades, permitiendo que estudiantes que podrían ser excluidos en un sistema basado únicamente en notas de corte tengan acceso a la educación superior. 

Al permitir que una variedad más diversa de estudiantes acceda a una educación de calidad, las universidades públicas ayudan a crear una fuerza laboral más heterogénea. Esto puede llevar a los empleadores a valorar habilidades y competencias que van más allá del rendimiento académico tradicional. 

Además, esta política puede cambiar la percepción del prestigio académico. A medida que los graduados de distintos orígenes académicos se integran al mercado laboral y demuestran sus capacidades, la idea de que solo los estudiantes de colegios prestigiosos pueden tener éxito se debilita. Así, los empleadores podrían depender menos del historial académico como el principal criterio de selección. ",100,1,6.7,6.7,5.7,2.7,4.8,4.7,4.5,63.0075188,63.0075188,0,"df2",261,2
28,10,5,10,25,8,"5","10",5,8,10,"46","71","5,7","La política de cuotas en las universidades públicas de Brasil podría afectar este tipo de comportamiento elitista, de forma que ahora quienes ocupen estos puestos van a tener la misma señalización que sus compañeras de carreara en cuanto a sus estudios superiores lo que lleva a los empleadores a reconsiderar su sesgo ya que con las cuotas, se entregan oportunidades a personas negras e indígenas por lo que de a poco irá desapareciendo el sesgo que personas de ese origen no reciben la misma educación de calidad que otros. Esto podría afectar a los negros e indígenas de forma que le dan mayores oportunidades. Hay que tener en cuanto a las cuotas que son solo una herramienta, por lo que no es la única solución y de ser mal aplicado podría tener un efecto contrario donde en vez de ayudar, aporte de forma negativa al ámbito de discriminación y elitismo.",0,1,6.6,6.1,5.7,3.8,4.8,5.15,4.9,68.98496241,68.98496241,1,"df1",157,2
131,10,5,10,25,4,"8","7",7,10,10,"46","71","5,7","Dado que el sistema además de admitir a los alumnos por sus puntajes los elige por otras
características, ser o no negro, ser o no de pueblos indígenas, se puede generar un nivel de
discriminación debido a que como hay cierto porcentaje de alumnos que deben pertenecer a
estas características, dejan de elegir a ciertas personas que quizá obtuvieron mejores puntajes
pero que fueron rechazados debido a que los cupos los debía utilizar otro alumno precedente
del sistema de cotas. Por otro lado, esta política de cuotas es una medida diseñada para
promover la equidad y la diversidad en la educación superior. Al garantizar el acceso a
universidades de alta calidad para estudiantes de grupos desfavorecidos, esta política no solo
mejora sus oportunidades educativas y laborales, sino que también contribuye a reducir el
elitismo y la discriminación en el mercado laboral. La teoría de la señalización apoya la idea de
que, al mejorar la diversidad de estudiantes en universidades prestigiosas, se mejora la
percepción de capacidad y talento de una gama más amplia de individuos, beneficiando tanto
a los estudiantes como a la sociedad en general.",57,0,6.4,6.3,5.7,5.2,4.9,4.4,5,70.67669173,70.67669173,1,"df2",212,3.5
33,10,5,7,22,7,"6","10",10,10,10,"53","75","6,0","El comportamiento elitista por parte de los empleadores en Brasil, se puede ver afectado por la política de cuotas implementada por las universidades, ya que la educación superior de calidad deja de ser un privilegio. Ahora gran parte de la población brasileña puede acceder an ella independiente de si pertenecen a minorías. Esto permite disminuir el comportamiento elitista, porque el colegio del cual salieron los postulantes ya no es una señal válida para medir las capacidades de las personas, es decir, salir de un colegio público no es motivo para ser rechazado en un trabajo como ocurría antes. La política de cuotas permite que los empleadores al momento de contratar se encuentren con un grupo mas diverso de personas pero con la característica de que todos cuentan con el mismo nivel de conocimiento y habilidades, por ende ya no hay espacio para discriminar. 
Con respecto al efecto que tiene la política en la discriminación que se produce contra los negros y los pueblos indígenas en el proceso de contratación, esta debiese disminuir porque ahora estos grupos tienen mayores posibilidades para estudiar en universidades públicas de calidad. Esto genera que las personas pertenecientes a las minorías afectadas, tengan mayores oportunidades laborales, pues antes de la implementación de la política de cuotas se les daba mayor prioridad a las personas que habían salido de colegios privados y de prestigio, por ende no era posible que una persona negra o indígena llegar a obtener un cargo en una empresa, pero sabemos que con la implementación de la política este escenario cambio, porque sus oportunidades laborales se extendieron.",37,1,6.9,6.7,6,3.8,5.5,5.5,5.2,74.13533835,74.13533835,1,"df2",352,3
27,10,5,10,25,10,"9","10",10,7,8,"54","79","6,3","Viendo que según la b) se les exige menos a los alumnos que ingresan a través de las cuotas, obtener una carrera mediante este sistema puede ser percibido como menos meritorio en comparación con ingresar por la vía regular. Esto puede impactar la discriminación, ya que la señal de la educación superior se debilita al no medir las capacidades de manera uniforme. Como resultado, es probable que exista más discriminación en las entrevistas de trabajo, ya que los empleadores tratarán de ""corregir"" las diferencias de capacidades que el proceso de selección universitario no reflejó adecuadamente. Por lo tanto, aunque las universidades intenten equiparar a ambos grupos mediante diferentes exigencias, en última instancia, las entrevistas laborales podrían intensificar la discriminación. Esto ocurre porque a un grupo se le exigió menos que al otro, y los empleadores buscan capacidades. Es probable que utilicen criterios raciales para ajustar sus evaluaciones. Por ejemplo, si un empleador entrevista a una persona de ascendencia indígena, podría exigirle más que al resto, asumiendo que a esa persona se le pidió menos para ingresar a la misma carrera. Esto sesga la percepción de capacidad, ya que no queda claro si el título fue obtenido por méritos propios o por una exigencia menor.",100,0,6.3,6.3,6.3,4.6,5.8,6,5.6,80.15037594,80.15037594,1,"df1",227,2
30,10,10,7,27,4,"6","8",5,10,10,"43","70","5,7","La implementación de la política de cuotas en las universidades públicas brasileñas podría tener un impacto significativo en la reducción del comportamiento elitista a traves de 2 formas:
1. Diversificación del Acceso a la Educación Superior
2. Cambio de Percepciones y Reducción de la Discriminación
Se le entrega mas oportunidades a estos grupos desfavorecidos, mejorando la competitividad del mercado laboral y aumentando la diversidad en el lugar de trabajo, logrando ademas un cambio en los estereotipos preexistentes. La introduccion de esta politica puede resultar sin duda favorable para reducir la discriminacion contra los negros y pueblos indigenas en el proceso de contratacion, pues lograran estar mejor representados, se reducirán sesgos sobre la calidad y talentos de estos grupos y se crearan precedentes positivos a futuro.",100,1,6.8,7,5.7,5.5,5.7,5.85,5.8,83.27067669,83.27067669,1,"df1",137,5.5
721,10,5,7,22,10,"7","5",6,10,10,"48","70","5,7","La política de cuotas en las universidades públicas brasileñas podría desafiar el elitismo
de los empleadores y reducir la discriminación racial y étnica en las contrataciones. Esto,
ya que, aunque los estudiantes fuera de las cuotas suelen tener un mejor desempeño
académico (como visto en los resultados anteriores), la presencia de graduados de
diversos orígenes en universidades prestigiosas puede cambiar la percepción de los
empleadores, enfocándolos más en habilidades y logros que en antecedentes escolares.
Junto con esto, un aumento de diversidad puede generar el efecto de nivelar para arriba a
todos los alumnos, logrando que los de mejor desempeño motiven a sus compañeros que
son parte de cuotas a aumentar su propio desempeño, de manera que eventualmente
podría hacer que la existencia de cuotas no fuese necesaria y se formara la misma
diversidad de manera normal (debido que todos tendrían un desempeño parecido sin
importar otros factores). Esta política de cuotas también aumenta la representación de
negros e indígenas en el mercado laboral, normalizando la diversidad y ayudando a
desmantelar estigmas, promoviendo así una cultura laboral más inclusiva y equitativa.",41,1,6.7,6.9,5.7,3.7,5,5.2,5,70.30075188,70.30075188,1,"df2",211,3
73,10,4,7,21,3,"5","10",10,10,10,"48","69","5,6","Con las medidas del uso de cuotas en Brasil se podría reducir el elitismo de parte de los empleadores a la hora de contratar trabajadores. Esto se debe a que con esta idea hay más egresados negros y de pueblos indígenas de buenas universidades, de modo que estos tienen así, más oportunidades de ser considerados por los empleadores que con el sistema que hay en Chile. Mientras que, como se dice en el enunciado, Chile tiene múltiples empresas que se interesan por los colegios donde estudiaron los egresados, la medida implementada en Brasil puede mostrar que alumnos que no hayan salido de colegios de alto nivel socio-económico tienen capacidades iguales o superiores a los egresados de dichos colegios.",0,1,6,6.6,5.6,5.2,5.5,4.7,5.2,74.43609023,74.43609023,0,"df2",128,0.5
35,10,5,10,25,8,"3","9",5,10,10,"45","70","5,7","Creo que la política podría afectar el tipo de comportamiento de los empleadores de dos formas posibles:
-Se podría reconocer el mérito de las personas que salieron de escuelas públicas por haber sido capaces de salir de universidades prestigiosas, a pesar de su educación primaria de menor calidad.
-A la vez se podría poner en duda los méritos por el hecho de haber accedido a la universidad a través de una admisión especial con cupos reservados.
Creo que se podría intensificar la discriminación hacia negros e indígenas en el proceso de contratación, se pondrá en duda sus méritos y se les puede mirar con cierto resentimiento por quitarles cupos a personas que tuvieron mejor puntaje en la prueba para acceder a la universidad.
Todo esto por la diferencia que se comprobó significativa en los promedios de puntaje corte entre las personas con y sin cupo.",33,0,6.1,4.3,5.7,3.7,4.6,6,5,70.60150376,70.60150376,0,"df1",158,1.5
661,10,5,7,22,10,"7","0",0,0,0,"17","39","3,6","Al aumentar la representación de estudiantes de diversos orígenes
socioeconómicos y étnicos en instituciones de educación superior de alta calidad,
los empleadores podrían comenzar a valorar más la diversidad como un activo.
Esto podría llevar a una disminución de los prejuicios basados en el tipo de
escuela secundaria que los candidatos han asistido, centrando la atención en la
educación superior obtenida y en los méritos individuales. Además, la mayor
inclusión de negros e indígenas en universidades públicas prestigiosas podría
aumentar su visibilidad en el mercado laboral, ayudando a normalizar la diversidad
racial y étnica en el lugar de trabajo y reduciendo los estereotipos y prejuicios. En
conjunto, estas dinámicas podrían contribuir a un mercado laboral más inclusivo y
equitativo, donde las habilidades y méritos individuales son valorados por encima
del origen socioeconómico y racial.",100,1,6.7,6.7,3.6,5,4.9,4.8,5,72.55639098,72.55639098,1,"df2",155,2.5
210,10,5,7,22,5,"6","10",7,10,10,"48","70","5,7","Cuando los estudiantes con distintos orígenes tienen acceso a la educación superior, los contratadores valoran más las habilidades y competencias adquiridas en la universidad en lugar del origen escolar. Las medidas que toma el gobierno, como las cuotas de acceso a la educación, aumentan la visibilidad y representación de grupos marginados y segregados en la educación y en el trabajo, desafiando estereotipos y prejuicios. Al implementar una política de cuotas, se fomenta una mayor diversidad en las universidades. Esto no solo beneficia a los estudiantes admitidos a través de estas cuotas, sino también a sus compañeros, los cuales se ven expuestos a diferentes perspectivas y experiencias. La interacción diaria con personas de distintos orígenes ayuda a promover una cultura de inclusión y respeto por el que está al lado. Aparte de esto, los egresados de estos grupos discriminados pueden servir como motivación e inspiración para las futuras generaciones, demostrando que el talento no está limitado por el origen étnico o socioeconómico. Con respecto a la discriminación contra los negros y pueblos indígenas, la política de cuotas tiene el potencial de tener un impacto significativo. Históricamente, estos grupos se han subrepresentado en las instituciones de educación superior por barreras económicas y sociales. Al asegurar que un porcentaje de los cupos universitarios esté reservado para estos grupos, se les da una oportunidad más justa para acceder a una educación de calidad y, por ende, a mejores oportunidades laborales. Además, si vemos el efecto en el mercado laboral, las empresas que valoran y practican la inclusión tienden a ser más innovadoras y a tener un ambiente de trabajo más saludable.",100,1,2.9,6.8,5.7,3.5,3.8,3,3.6,50.52631579,50.52631579,1,"df2",293,3.5
